"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","New Georeferenced Column"
"308478573","06/22/2025","07:07:00","BRONX","OUTSIDE","41","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","25-44","M","WHITE HISPANIC","45-64","M","WHITE HISPANIC","1,014,999","237,381","40.818188","-73.888909","POINT (-73.888909 40.818188)"
"306906891","05/23/2025","02:16:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","25-44","M","BLACK","1,019,102","188,511","40.684037","-73.874337","POINT (-73.874337 40.684037)"
"299070750","01/07/2025","18:33:00","BRONX","OUTSIDE","40","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","BLACK","1,006,184","233,270","40.806931","-73.920768","POINT (-73.920768 40.806931)"
"305637545","04/30/2025","22:40:00","QUEENS","OUTSIDE","103","0","STREET","(null)","N","<18","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC","1,041,743","198,016","40.70999809","-73.79262296","POINT (-73.79262296 40.70999809)"
"306610276","05/17/2025","21:57:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","Y","18-24","M","WHITE HISPANIC","18-24","F","BLACK","1,014,679","179,606","40.65961","-73.890327","POINT (-73.890327 40.65961)"
"300261482","01/29/2025","18:15:00","MANHATTAN","OUTSIDE","25","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","1,002,275","233,608","40.807866","-73.934886","POINT (-73.934886 40.807866)"
"307259944","05/29/2025","00:21:00","QUEENS","OUTSIDE","101","0","STREET","(null)","Y","25-44","M","BLACK","25-44","M","BLACK","1,053,092","158,139","40.60046388","-73.75209442","POINT (-73.75209442 40.60046388)"
"308005978","06/12/2025","21:20:00","BRONX","OUTSIDE","42","0","STREET","(null)","Y","25-44","M","ASIAN / PACIFIC ISLANDER","45-64","M","BLACK","1,011,512","242,249","40.831562","-73.901486","POINT (-73.901486 40.831562)"
"302206261","03/06/2025","22:56:00","BROOKLYN","OUTSIDE","73","0","STREET","(null)","N","45-64","M","BLACK","25-44","M","BLACK","1,008,245","183,796","0","0","POINT (0 0)"
"306856917","05/22/2025","03:43:00","BROOKLYN","OUTSIDE","63","0","STREET","MULTI DWELL - APT BUILD","N","45-64","M","BLACK","25-44","M","BLACK","1,006,716","164,534","40.618266","-73.919077","POINT (-73.919077 40.618266)"
"300044046","01/26/2025","04:18:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","N","<18","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1,018,471","187,914","40.68239109","-73.87661615","POINT (-73.87661615 40.68239109)"
"298877583","01/03/2025","19:33:00","BROOKLYN","OUTSIDE","60","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","985,975","148,995","40.575643","-73.99379","POINT (-73.99379 40.575643)"
"308510109","06/23/2025","11:31:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,024,846","257,597","40.873635","-73.85321","POINT (-73.85321 40.873635)"
"305637547","04/30/2025","22:00:00","BROOKLYN","OUTSIDE","73","0","STREET","(null)","N","18-24","M","BLACK","25-44","M","BLACK","1,008,608","178,434","40.656413","-73.912211","POINT (-73.912211 40.656413)"
"305404408","04/27/2025","03:40:00","MANHATTAN","OUTSIDE","30","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","999,790","241,169","0","0","POINT (0 0)"
"305806062","05/03/2025","13:37:00","MANHATTAN","OUTSIDE","32","0","STREET","(null)","N","(null)","(null)","(null)","45-64","F","BLACK","999,317","235,389","40.81275131","-73.94556952","POINT (-73.94556952 40.81275131)"
"305404405","04/26/2025","20:54:00","QUEENS","OUTSIDE","114","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","25-44","M","BLACK","25-44","M","BLACK","1,001,899","221,193","40.773793","-73.936281","POINT (-73.936281 40.773793)"
"308408221","06/20/2025","19:06:00","QUEENS","OUTSIDE","104","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","25-44","M","BLACK","1,013,701","195,936","0","0","POINT (0 0)"
"305764953","05/02/2025","23:09:00","BROOKLYN","OUTSIDE","79","0","STREET","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","18-24","M","BLACK","1,000,381","192,386","40.694727","-73.941829","POINT (-73.941829 40.694727)"
"308096531","06/15/2025","04:45:00","BRONX","OUTSIDE","52","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,018,056","262,031","40.885834","-73.877738","POINT (-73.877738 40.885834)"
"303338555","03/20/2025","16:05:00","BRONX","INSIDE","47","0","DWELLING","MULTI DWELL - APT BUILD","Y","18-24","M","BLACK","25-44","M","BLACK","1,026,783","262,923","40.888244","-73.846171","POINT (-73.846171 40.888244)"
"307034263","05/26/2025","02:33:00","BROOKLYN","OUTSIDE","79","0","STREET","(null)","Y","(null)","(null)","(null)","18-24","M","BLACK","998,728","192,685","40.695549","-73.947788","POINT (-73.947788 40.695549)"
"306159871","05/09/2025","20:30:00","MANHATTAN","OUTSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","Y","25-44","M","BLACK HISPANIC","25-44","M","BLACK","984,021","198,160","40.710589","-74.000827","POINT (-74.000827 40.710589)"
"301377739","02/19/2025","17:48:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","BLACK HISPANIC","1,007,784","240,375","40.826428","-73.914965","POINT (-73.914965 40.826428)"
"305163494","04/22/2025","22:27:00","MANHATTAN","OUTSIDE","28","0","STREET","(null)","Y","18-24","M","BLACK","18-24","M","BLACK","997,853","230,889","40.800413","-73.950866","POINT (-73.950866 40.800413)"
"304789869","04/15/2025","11:00:00","BRONX","OUTSIDE","50","0","STREET","(null)","N","18-24","M","BLACK","18-24","M","BLACK","1,011,732","257,490","40.873392","-73.900629","POINT (-73.900629 40.873392)"
"300999026","02/12/2025","06:13:00","BRONX","OUTSIDE","43","0","(null)","(null)","N","(null)","(null)","(null)","18-24","M","BLACK HISPANIC","1,020,496","243,568","40.83515","-73.869013","POINT (-73.869013 40.83515)"
"307892883","06/10/2025","23:35:00","BROOKLYN","OUTSIDE","88","0","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","25-44","M","BLACK","990,900","192,208","40.694251","-73.976019","POINT (-73.976019 40.694251)"
"305163494","04/22/2025","22:27:00","MANHATTAN","OUTSIDE","28","0","STREET","(null)","N","18-24","M","BLACK","45-64","F","BLACK","997,853","230,889","40.800413","-73.950866","POINT (-73.950866 40.800413)"
"308517352","06/23/2025","14:36:00","QUEENS","OUTSIDE","113","0","STREET","(null)","Y","45-64","M","BLACK","45-64","F","BLACK","1,048,273","188,365","40.683473","-73.769162","POINT (-73.769162 40.683473)"
"308312284","06/18/2025","17:30:00","QUEENS","OUTSIDE","116","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,057,108","186,365","40.677916","-73.737329","POINT (-73.737329 40.677916)"
"307386905","06/01/2025","16:10:00","MANHATTAN","OUTSIDE","7","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","988,082","200,814","40.717872","-73.986177","POINT (-73.986177 40.717872)"
"304923534","04/17/2025","13:30:00","BRONX","OUTSIDE","47","0","STREET","GROCERY/BODEGA","Y","18-24","M","BLACK","18-24","M","BLACK","1,023,616","260,168","40.880696","-73.857641","POINT (-73.857641 40.880696)"
"301565780","02/23/2025","19:50:00","BRONX","OUTSIDE","49","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,020,860","251,009","40.855571","-73.86766","POINT (-73.86766 40.855571)"
"301320655","02/18/2025","08:18:00","MANHATTAN","INSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","25-44","M","WHITE HISPANIC","45-64","M","BLACK","989,138","199,179","40.713385","-73.982369","POINT (-73.982369 40.713385)"
"305252462","04/23/2025","16:54:00","BRONX","OUTSIDE","50","0","STREET","(null)","N","<18","M","WHITE HISPANIC","25-44","M","WHITE","1,011,704","255,784","40.868709","-73.900738","POINT (-73.900738 40.868709)"
"303898920","03/30/2025","22:50:00","BROOKLYN","INSIDE","75","0","DWELLING","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","65+","M","BLACK","1,014,285","185,709","40.676364","-73.891718","POINT (-73.891718 40.676364)"
"300771165","02/07/2025","16:55:00","BROOKLYN","OUTSIDE","70","0","STREET","(null)","N","25-44","F","BLACK","25-44","M","BLACK","995,904","177,892","40.654952","-73.958","POINT (-73.958 40.654952)"
"308717968","06/26/2025","22:40:00","BROOKLYN","OUTSIDE","69","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,012,575","171,356","40.636975","-73.897943","POINT (-73.897943 40.636975)"
"298756519","01/01/2025","23:18:00","QUEENS","OUTSIDE","103","0","COMMERCIAL","BAR/NIGHT CLUB","N","(null)","(null)","(null)","<18","M","BLACK","1,036,944","194,475","40.700318","-73.809959","POINT (-73.809959 40.700318)"
"307246929","05/29/2025","15:09:00","MANHATTAN","OUTSIDE","28","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","18-24","M","BLACK","998,115","230,303","40.798802","-73.949922","POINT (-73.949922 40.798802)"
"305918735","05/06/2025","08:57:00","BRONX","OUTSIDE","41","2","HOUSING","(null)","N","25-44","M","BLACK HISPANIC","25-44","M","BLACK","1,015,160","237,028","40.817218","-73.888327","POINT (-73.888327 40.817218)"
"305034042","04/19/2025","22:14:00","BRONX","OUTSIDE","43","0","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","45-64","M","BLACK","1,020,219","239,110","0","0","POINT (0 0)"
"298909834","01/04/2025","22:35:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","45-64","M","BLACK","25-44","M","AMERICAN INDIAN/ALASKAN NATIVE","1,023,206","263,661","40.890286","-73.859106","POINT (-73.859106 40.890286)"
"299453928","01/14/2025","19:06:00","BROOKLYN","OUTSIDE","81","0","STREET","(null)","N","(null)","(null)","(null)","25-44","F","BLACK","1,003,654","187,147","40.68034","-73.930039","POINT (-73.930039 40.68034)"
"304863318","04/16/2025","18:34:00","BRONX","OUTSIDE","48","0","STREET","(null)","Y","18-24","M","BLACK","25-44","M","BLACK","1,014,085","250,720","40.854801","-73.892152","POINT (-73.892152 40.854801)"
"306214612","05/10/2025","16:18:00","QUEENS","OUTSIDE","113","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","18-24","M","BLACK","18-24","M","BLACK","1,044,258","189,029","40.685325","-73.783631","POINT (-73.783631 40.685325)"
"308517351","06/23/2025","15:55:00","BROOKLYN","OUTSIDE","73","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,007,588","179,461","40.659233","-73.915885","POINT (-73.915885 40.659233)"
"307442124","06/02/2025","21:55:00","BROOKLYN","INSIDE","83","0","DWELLING","MULTI DWELL - APT BUILD","Y","(null)","(null)","(null)","45-64","M","BLACK","1,007,689","191,193","40.691437","-73.915478","POINT (-73.915478 40.691437)"
"308261626","06/18/2025","01:59:00","BROOKLYN","OUTSIDE","75","0","DWELLING","PVT HOUSE","N","(null)","(null)","(null)","18-24","M","WHITE HISPANIC","1,020,165","188,886","40.685062","-73.870501","POINT (-73.870501 40.685062)"
"299382241","01/13/2025","21:15:00","MANHATTAN","OUTSIDE","30","0","STREET","(null)","N","18-24","M","BLACK","25-44","M","BLACK HISPANIC","997,512","239,558","40.824207","-73.95208","POINT (-73.95208 40.824207)"
"301565779","02/23/2025","23:41:00","BRONX","INSIDE","43","0","DWELLING","MULTI DWELL - APT BUILD","N","18-24","M","BLACK","45-64","F","WHITE HISPANIC","1,024,656","245,412","40.840191","-73.85397","POINT (-73.85397 40.840191)"
"306616572","05/18/2025","06:52:00","BRONX","OUTSIDE","47","0","STREET","(null)","N","45-64","M","BLACK","25-44","F","BLACK","1,025,439","258,185","40.875245","-73.851062","POINT (-73.851062 40.875245)"
"303806896","03/28/2025","05:30:00","BRONX","OUTSIDE","43","0","DWELLING","MULTI DWELL - APT BUILD","N","45-64","F","BLACK","25-44","M","BLACK HISPANIC","1,024,906","238,243","40.820514","-73.85311","POINT (-73.85311 40.820514)"
"305637546","04/30/2025","22:33:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1,019,318","184,803","40.673859","-73.873576","POINT (-73.873576 40.673859)"
"305764954","05/03/2025","02:22:00","BRONX","OUTSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","1,010,515","236,824","40.816674","-73.905109","POINT (-73.905109 40.816674)"
"305372450","04/26/2025","03:56:00","QUEENS","OUTSIDE","114","0","STREET","(null)","N","25-44","F","BLACK","25-44","M","ASIAN / PACIFIC ISLANDER","1,009,113","219,613","40.76942832","-73.91023928","POINT (-73.91023928 40.76942832)"
"299948481","01/23/2025","22:10:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,014,109","180,072","40.660892","-73.892377","POINT (-73.892377 40.660892)"
"304221983","04/05/2025","02:30:00","BROOKLYN","INSIDE","61","2","HOUSING","(null)","Y","25-44","M","BLACK","25-44","M","BLACK","1,001,807","156,562","40.596395","-73.93678","POINT (-73.93678 40.596395)"
"303231197","03/19/2025","00:20:00","BRONX","OUTSIDE","52","0","STREET","(null)","N","45-64","M","WHITE HISPANIC","25-44","M","BLACK","1,013,654","255,157","40.866982","-73.893691","POINT (-73.893691 40.866982)"
"305252462","04/23/2025","16:54:00","BRONX","OUTSIDE","50","0","STREET","(null)","N","<18","M","WHITE HISPANIC","25-44","F","WHITE HISPANIC","1,011,704","255,784","40.868709","-73.900738","POINT (-73.900738 40.868709)"
"301313414","02/18/2025","15:42:00","BRONX","OUTSIDE","40","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,006,343","234,269","40.809673","-73.920192","POINT (-73.920192 40.809673)"
"301377740","02/13/2025","19:20:00","BROOKLYN","OUTSIDE","75","0","COMMERCIAL","STORE UNCLASSIFIED","N","(null)","(null)","(null)","18-24","M","BLACK","1,015,480","181,597","40.665074","-73.887429","POINT (-73.887429 40.665074)"
"305304922","04/24/2025","22:55:00","QUEENS","OUTSIDE","101","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,051,499","161,161","40.60877086","-73.75780082","POINT (-73.75780082 40.60877086)"
"299470064","01/15/2025","01:00:00","MANHATTAN","OUTSIDE","34","0","STREET","(null)","N","45-64","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1,003,614","255,446","40.86779354","-73.92998844","POINT (-73.92998844 40.86779354)"
"298949942","01/03/2025","17:30:00","BRONX","OUTSIDE","44","0","STREET","(null)","Y","25-44","M","BLACK HISPANIC","<18","M","BLACK","1,007,076","246,675","40.843722","-73.917502","POINT (-73.917502 40.843722)"
"306234142","05/11/2025","15:02:00","BROOKLYN","OUTSIDE","73","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,007,234","179,933","40.660532","-73.917158","POINT (-73.917158 40.660532)"
"305163494","04/22/2025","22:27:00","MANHATTAN","OUTSIDE","28","0","STREET","(null)","N","18-24","M","BLACK","18-24","M","BLACK","997,853","230,889","40.800413","-73.950866","POINT (-73.950866 40.800413)"
"298756517","01/01/2025","05:15:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","45-64","M","BLACK","45-64","M","BLACK","1,009,255","244,278","40.83712653","-73.90963478","POINT (-73.90963478 40.83712653)"
"302818234","03/14/2025","16:24:00","MANHATTAN","OUTSIDE","32","0","STREET","(null)","N","18-24","M","BLACK HISPANIC","<18","M","BLACK","1,001,420","241,474","40.829459","-73.937956","POINT (-73.937956 40.829459)"
"305036739","04/20/2025","06:35:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","18-24","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC","1,006,490","244,533","0","0","POINT (0 0)"
"299329906","01/12/2025","23:00:00","BRONX","INSIDE","43","0","DWELLING","MULTI DWELL - APT BUILD","N","18-24","M","BLACK","25-44","M","BLACK HISPANIC","1,018,624","241,852","40.830446","-73.875789","POINT (-73.875789 40.830446)"
"305570207","04/29/2025","14:30:00","BRONX","INSIDE","48","0","DWELLING","MULTI DWELL - APT BUILD","Y","25-44","M","BLACK","25-44","M","BLACK","1,017,336","246,011","40.841865","-73.880423","POINT (-73.880423 40.841865)"
"303301268","03/20/2025","08:00:00","BROOKLYN","OUTSIDE","83","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1,006,935","193,011","40.696427","-73.918193","POINT (-73.918193 40.696427)"
"300197279","01/28/2025","15:30:00","BROOKLYN","INSIDE","67","0","DWELLING","MULTI DWELL - APT BUILD","N","(null)","(null)","(null)","<18","M","BLACK","1,004,499","180,655","40.662519","-73.927012","POINT (-73.927012 40.662519)"
"307142686","05/09/2025","09:01:00","BRONX","OUTSIDE","52","0","STREET","(null)","N","25-44","M","BLACK","25-44","F","BLACK","1,010,447","252,191","40.858851","-73.905297","POINT (-73.905297 40.858851)"
"298756519","01/01/2025","23:18:00","QUEENS","OUTSIDE","103","0","COMMERCIAL","BAR/NIGHT CLUB","N","(null)","(null)","(null)","18-24","F","BLACK","1,036,944","194,475","40.700318","-73.809959","POINT (-73.809959 40.700318)"
"308717967","06/25/2025","16:55:00","QUEENS","INSIDE","103","0","DWELLING","MULTI DWELL - APT BUILD","Y","<18","M","BLACK","<18","M","BLACK","1,039,987","196,083","40.704713","-73.798973","POINT (-73.798973 40.704713)"
"308590516","06/24/2025","21:00:00","QUEENS","OUTSIDE","100","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,041,025","153,312","40.58730029","-73.79558904","POINT (-73.79558904 40.58730029)"
"305054141","04/20/2025","13:50:00","BRONX","OUTSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","Y","18-24","M","WHITE HISPANIC","25-44","M","BLACK","1,005,945","235,372","40.812701","-73.921625","POINT (-73.921625 40.812701)"
"303478971","03/22/2025","22:55:00","STATEN ISLAND","OUTSIDE","121","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","939,190","171,509","40.637325","-74.162356","POINT (-74.162356 40.637325)"
"302312792","03/07/2025","18:15:00","BROOKLYN","OUTSIDE","79","0","STREET","(null)","Y","(null)","(null)","(null)","18-24","M","BLACK","998,617","186,863","40.679569","-73.948203","POINT (-73.948203 40.679569)"
"307338431","05/31/2025","16:44:00","BROOKLYN","OUTSIDE","81","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","<18","F","BLACK","1,005,072","186,682","40.679061","-73.924931","POINT (-73.924931 40.679061)"
"306651416","05/18/2025","18:45:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","(null)","(null)","(null)","45-64","M","BLACK","1,013,673","252,644","40.860085","-73.89363","POINT (-73.89363 40.860085)"
"304800342","04/15/2025","22:50:00","BRONX","OUTSIDE","48","0","STREET","(null)","Y","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","1,014,916","247,516","40.846007","-73.889163","POINT (-73.889163 40.846007)"
"308510108","06/23/2025","01:57:00","BRONX","OUTSIDE","42","0","STREET","(null)","N","(null)","(null)","(null)","18-24","M","BLACK HISPANIC","1,010,208","240,349","40.826351","-73.906207","POINT (-73.906207 40.826351)"
"304555922","04/10/2025","20:15:00","BROOKLYN","OUTSIDE","73","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","18-24","M","BLACK","18-24","M","BLACK","1,010,830","181,517","40.664869","-73.904191","POINT (-73.904191 40.664869)"
"306651766","05/18/2025","23:43:00","MANHATTAN","OUTSIDE","28","0","STREET","(null)","Y","18-24","M","BLACK","25-44","M","BLACK","997,566","234,085","40.809184","-73.951896","POINT (-73.951896 40.809184)"
"303630517","03/25/2025","14:22:00","BROOKLYN","INSIDE","83","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","18-24","M","BLACK","<18","M","BLACK","1,006,631","192,819","40.695902","-73.919289","POINT (-73.919289 40.695902)"
"304361735","04/07/2025","23:44:00","MANHATTAN","OUTSIDE","34","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK HISPANIC","1,003,970","251,215","40.85617993","-73.92871375","POINT (-73.92871375 40.85617993)"
"306613733","05/18/2025","03:54:00","QUEENS","OUTSIDE","110","0","STREET","(null)","N","18-24","M","BLACK","18-24","F","BLACK","1,016,250","208,615","40.739229","-73.884526","POINT (-73.884526 40.739229)"
"305930898","05/06/2025","14:56:00","BRONX","INSIDE","48","0","COMMERCIAL","GROCERY/BODEGA","N","(null)","(null)","(null)","25-44","M","BLACK","1,016,874","245,380","40.840135","-73.882097","POINT (-73.882097 40.840135)"
"301479775","02/21/2025","07:05:00","BROOKLYN","OUTSIDE","67","0","DWELLING","MULTI DWELL - APT BUILD","N","18-24","M","BLACK","18-24","M","BLACK HISPANIC","997,703","178,036","40.655344","-73.951514","POINT (-73.951514 40.655344)"
"303772633","03/27/2025","11:15:00","MANHATTAN","OUTSIDE","25","0","STREET","(null)","N","18-24","M","BLACK","25-44","M","WHITE","1,000,482","230,365","40.79897","-73.941374","POINT (-73.941374 40.79897)"
"306214612","05/10/2025","16:18:00","QUEENS","OUTSIDE","113","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","18-24","M","BLACK HISPANIC","18-24","M","BLACK","1,044,258","189,029","40.685325","-73.783631","POINT (-73.783631 40.685325)"
"299382241","01/13/2025","21:15:00","MANHATTAN","OUTSIDE","30","0","STREET","(null)","N","18-24","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC","997,512","239,558","40.824207","-73.95208","POINT (-73.95208 40.824207)"
"305128574","04/22/2025","04:11:00","BROOKLYN","OUTSIDE","67","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","997,992","176,370","40.65077","-73.950476","POINT (-73.950476 40.65077)"
"305637547","04/30/2025","22:00:00","BROOKLYN","OUTSIDE","73","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","1,008,608","178,434","40.656413","-73.912211","POINT (-73.912211 40.656413)"
"304022768","04/01/2025","23:09:00","BRONX","INSIDE","47","0","DWELLING","(null)","Y","25-44","M","BLACK","25-44","F","WHITE HISPANIC","1,026,834","259,300","40.8783","-73.846009","POINT (-73.846009 40.8783)"
"307244288","05/29/2025","13:19:00","BRONX","OUTSIDE","43","0","OTHER","(null)","N","45-64","M","BLACK HISPANIC","65+","M","WHITE HISPANIC","1,024,045","243,057","40.833731","-73.856193","POINT (-73.856193 40.833731)"
"307581455","06/04/2025","21:33:00","BRONX","OUTSIDE","41","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","1,013,340","238,793","40.822069","-73.894895","POINT (-73.894895 40.822069)"
"306214613","05/10/2025","20:33:00","BRONX","OUTSIDE","40","0","STREET","GROCERY/BODEGA","Y","<18","M","WHITE HISPANIC","25-44","F","WHITE HISPANIC","1,005,529","233,942","40.808777","-73.923131","POINT (-73.923131 40.808777)"
"303132108","03/18/2025","23:00:00","BROOKLYN","OUTSIDE","70","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","994,512","177,707","40.654446","-73.963015","POINT (-73.963015 40.654446)"
"308045739","06/13/2025","19:16:00","BROOKLYN","OUTSIDE","75","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","25-44","M","BLACK","25-44","M","ASIAN / PACIFIC ISLANDER","1,020,186","182,547","40.667662","-73.87046","POINT (-73.87046 40.667662)"
"300361353","01/31/2025","20:17:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","18-24","M","BLACK","18-24","M","BLACK","998,424","234,705","40.810886","-73.948795","POINT (-73.948795 40.810886)"
"301080543","02/13/2025","01:10:00","BROOKLYN","OUTSIDE","67","0","STREET","(null)","Y","45-64","M","BLACK","25-44","M","BLACK","1,008,969","175,797","40.649174","-73.910919","POINT (-73.910919 40.649174)"
"300450100","02/02/2025","22:30:00","QUEENS","OUTSIDE","102","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","ASIAN / PACIFIC ISLANDER","1,022,122","187,487","40.681213","-73.863454","POINT (-73.863454 40.681213)"
"307945955","06/11/2025","21:09:00","QUEENS","INSIDE","109","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","45-64","M","BLACK","25-44","M","BLACK","1,031,019","218,351","40.765885","-73.831162","POINT (-73.831162 40.765885)"
"300131383","01/27/2025","16:30:00","QUEENS","INSIDE","107","0","DWELLING","MULTI DWELL - APT BUILD","Y","(null)","(null)","(null)","18-24","M","BLACK","1,051,246","203,301","40.724446","-73.758293","POINT (-73.758293 40.724446)"
"308355727","06/19/2025","16:21:00","BROOKLYN","OUTSIDE","67","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","997,843","175,671","0","0","POINT (0 0)"
